"Statistic Label","Year","Age","Sex","Criteria for Projection","UNIT","VALUE"
"Population Projections based on Census 2022","2022","8 years","Both sexes","Method - M3","Number","70916"
"Population Projections based on Census 2022","2022","9 years","Both sexes","Method - M1","Number","72344"
"Population Projections based on Census 2022","2022","9 years","Both sexes","Method - M2","Number","72344"
"Population Projections based on Census 2022","2022","9 years","Both sexes","Method - M3","Number","72344"
"Population Projections based on Census 2022","2022","10 years","Both sexes","Method - M1","Number","74362"
"Population Projections based on Census 2022","2022","10 years","Both sexes","Method - M2","Number","74362"
"Population Projections based on Census 2022","2022","10 years","Both sexes","Method - M3","Number","74362"
"Population Projections based on Census 2022","2022","11 years","Both sexes","Method - M1","Number","75309"
"Population Projections based on Census 2022","2022","11 years","Both sexes","Method - M2","Number","75309"
"Population Projections based on Census 2022","2022","11 years","Both sexes","Method - M3","Number","75309"
"Population Projections based on Census 2022","2022","12 years","Both sexes","Method - M1","Number","76409"
"Population Projections based on Census 2022","2022","12 years","Both sexes","Method - M2","Number","76409"
"Population Projections based on Census 2022","2022","12 years","Both sexes","Method - M3","Number","76409"
"Population Projections based on Census 2022","2022","13 years","Both sexes","Method - M1","Number","75331"
"Population Projections based on Census 2022","2022","13 years","Both sexes","Method - M2","Number","75331"
"Population Projections based on Census 2022","2022","13 years","Both sexes","Method - M3","Number","75331"
"Population Projections based on Census 2022","2022","14 years","Both sexes","Method - M1","Number","73468"
"Population Projections based on Census 2022","2022","14 years","Both sexes","Method - M2","Number","73468"
"Population Projections based on Census 2022","2022","14 years","Both sexes","Method - M3","Number","73468"
"Population Projections based on Census 2022","2022","15 years","Both sexes","Method - M1","Number","70285"
"Population Projections based on Census 2022","2022","15 years","Both sexes","Method - M2","Number","70285"
"Population Projections based on Census 2022","2022","15 years","Both sexes","Method - M3","Number","70285"
"Population Projections based on Census 2022","2022","16 years","Both sexes","Method - M1","Number","67922"
"Population Projections based on Census 2022","2022","16 years","Both sexes","Method - M2","Number","67922"
"Population Projections based on Census 2022","2022","16 years","Both sexes","Method - M3","Number","67922"
"Population Projections based on Census 2022","2022","17 years","Both sexes","Method - M1","Number","67840"
"Population Projections based on Census 2022","2022","17 years","Both sexes","Method - M2","Number","67840"
"Population Projections based on Census 2022","2022","17 years","Both sexes","Method - M3","Number","67840"
"Population Projections based on Census 2022","2022","18 years","Both sexes","Method - M1","Number","66667"
"Population Projections based on Census 2022","2022","18 years","Both sexes","Method - M2","Number","66667"
"Population Projections based on Census 2022","2022","18 years","Both sexes","Method - M3","Number","66667"
"Population Projections based on Census 2022","2022","19 years","Both sexes","Method - M1","Number","65062"
"Population Projections based on Census 2022","2022","19 years","Both sexes","Method - M2","Number","65062"
"Population Projections based on Census 2022","2022","19 years","Both sexes","Method - M3","Number","65062"
"Population Projections based on Census 2022","2022","20 years","Both sexes","Method - M1","Number","64285"
"Population Projections based on Census 2022","2022","20 years","Both sexes","Method - M2","Number","64285"
"Population Projections based on Census 2022","2022","20 years","Both sexes","Method - M3","Number","64285"
"Population Projections based on Census 2022","2022","21 years","Both sexes","Method - M1","Number","62016"
"Population Projections based on Census 2022","2022","21 years","Both sexes","Method - M2","Number","62016"
"Population Projections based on Census 2022","2022","21 years","Both sexes","Method - M3","Number","62016"
"Population Projections based on Census 2022","2022","22 years","Both sexes","Method - M1","Number","63148"
"Population Projections based on Census 2022","2022","22 years","Both sexes","Method - M2","Number","63148"
"Population Projections based on Census 2022","2022","22 years","Both sexes","Method - M3","Number","63148"
"Population Projections based on Census 2022","2022","23 years","Both sexes","Method - M1","Number","61910"
"Population Projections based on Census 2022","2022","23 years","Both sexes","Method - M2","Number","61910"
"Population Projections based on Census 2022","2022","23 years","Both sexes","Method - M3","Number","61910"
"Population Projections based on Census 2022","2022","24 years","Both sexes","Method - M1","Number","60582"
"Population Projections based on Census 2022","2022","24 years","Both sexes","Method - M2","Number","60582"
"Population Projections based on Census 2022","2022","24 years","Both sexes","Method - M3","Number","60582"
"Population Projections based on Census 2022","2022","25 years","Both sexes","Method - M1","Number","60299"
"Population Projections based on Census 2022","2022","25 years","Both sexes","Method - M2","Number","60299"
"Population Projections based on Census 2022","2022","25 years","Both sexes","Method - M3","Number","60299"
"Population Projections based on Census 2022","2022","26 years","Both sexes","Method - M1","Number","58928"
"Population Projections based on Census 2022","2022","26 years","Both sexes","Method - M2","Number","58928"
"Population Projections based on Census 2022","2022","26 years","Both sexes","Method - M3","Number","58928"
"Population Projections based on Census 2022","2022","27 years","Both sexes","Method - M1","Number","59374"
"Population Projections based on Census 2022","2022","27 years","Both sexes","Method - M2","Number","59374"
"Population Projections based on Census 2022","2022","27 years","Both sexes","Method - M3","Number","59374"
"Population Projections based on Census 2022","2022","28 years","Both sexes","Method - M1","Number","59200"
"Population Projections based on Census 2022","2022","28 years","Both sexes","Method - M2","Number","59200"
"Population Projections based on Census 2022","2022","28 years","Both sexes","Method - M3","Number","59200"
"Population Projections based on Census 2022","2022","29 years","Both sexes","Method - M1","Number","61333"
"Population Projections based on Census 2022","2022","29 years","Both sexes","Method - M2","Number","61333"
"Population Projections based on Census 2022","2022","29 years","Both sexes","Method - M3","Number","61333"
"Population Projections based on Census 2022","2022","30 years","Both sexes","Method - M1","Number","64580"
"Population Projections based on Census 2022","2022","30 years","Both sexes","Method - M2","Number","64580"
"Population Projections based on Census 2022","2022","30 years","Both sexes","Method - M3","Number","64580"
"Population Projections based on Census 2022","2022","31 years","Both sexes","Method - M1","Number","66283"
"Population Projections based on Census 2022","2022","31 years","Both sexes","Method - M2","Number","66283"
"Population Projections based on Census 2022","2022","31 years","Both sexes","Method - M3","Number","66283"
"Population Projections based on Census 2022","2022","32 years","Both sexes","Method - M1","Number","67159"
"Population Projections based on Census 2022","2022","32 years","Both sexes","Method - M2","Number","67159"
"Population Projections based on Census 2022","2022","32 years","Both sexes","Method - M3","Number","67159"
"Population Projections based on Census 2022","2022","33 years","Both sexes","Method - M1","Number","66717"
"Population Projections based on Census 2022","2022","33 years","Both sexes","Method - M2","Number","66717"
"Population Projections based on Census 2022","2022","33 years","Both sexes","Method - M3","Number","66717"
"Population Projections based on Census 2022","2022","34 years","Both sexes","Method - M1","Number","69787"
"Population Projections based on Census 2022","2022","34 years","Both sexes","Method - M2","Number","69787"
"Population Projections based on Census 2022","2022","34 years","Both sexes","Method - M3","Number","69787"
"Population Projections based on Census 2022","2022","35 years","Both sexes","Method - M1","Number","73565"
"Population Projections based on Census 2022","2022","35 years","Both sexes","Method - M2","Number","73565"
"Population Projections based on Census 2022","2022","35 years","Both sexes","Method - M3","Number","73565"
"Population Projections based on Census 2022","2022","36 years","Both sexes","Method - M1","Number","75211"
"Population Projections based on Census 2022","2022","36 years","Both sexes","Method - M2","Number","75211"
"Population Projections based on Census 2022","2022","36 years","Both sexes","Method - M3","Number","75211"
"Population Projections based on Census 2022","2022","37 years","Both sexes","Method - M1","Number","76151"
"Population Projections based on Census 2022","2022","37 years","Both sexes","Method - M2","Number","76151"
"Population Projections based on Census 2022","2022","37 years","Both sexes","Method - M3","Number","76151"
"Population Projections based on Census 2022","2022","38 years","Both sexes","Method - M1","Number","79016"
"Population Projections based on Census 2022","2022","38 years","Both sexes","Method - M2","Number","79016"
"Population Projections based on Census 2022","2022","38 years","Both sexes","Method - M3","Number","79016"
"Population Projections based on Census 2022","2022","39 years","Both sexes","Method - M1","Number","81867"
"Population Projections based on Census 2022","2022","39 years","Both sexes","Method - M2","Number","81867"
"Population Projections based on Census 2022","2022","39 years","Both sexes","Method - M3","Number","81867"
"Population Projections based on Census 2022","2022","40 years","Both sexes","Method - M1","Number","84847"
"Population Projections based on Census 2022","2022","40 years","Both sexes","Method - M2","Number","84847"
"Population Projections based on Census 2022","2022","40 years","Both sexes","Method - M3","Number","84847"
"Population Projections based on Census 2022","2022","41 years","Both sexes","Method - M1","Number","85510"
"Population Projections based on Census 2022","2022","41 years","Both sexes","Method - M2","Number","85510"
"Population Projections based on Census 2022","2022","41 years","Both sexes","Method - M3","Number","85510"
"Population Projections based on Census 2022","2022","42 years","Both sexes","Method - M1","Number","85562"
"Population Projections based on Census 2022","2022","42 years","Both sexes","Method - M2","Number","85562"
"Population Projections based on Census 2022","2022","42 years","Both sexes","Method - M3","Number","85562"
"Population Projections based on Census 2022","2022","43 years","Both sexes","Method - M1","Number","81081"
"Population Projections based on Census 2022","2022","43 years","Both sexes","Method - M2","Number","81081"
"Population Projections based on Census 2022","2022","43 years","Both sexes","Method - M3","Number","81081"
"Population Projections based on Census 2022","2022","44 years","Both sexes","Method - M1","Number","77726"
"Population Projections based on Census 2022","2022","44 years","Both sexes","Method - M2","Number","77726"
"Population Projections based on Census 2022","2022","44 years","Both sexes","Method - M3","Number","77726"
"Population Projections based on Census 2022","2022","45 years","Both sexes","Method - M1","Number","77106"
"Population Projections based on Census 2022","2022","45 years","Both sexes","Method - M2","Number","77106"
"Population Projections based on Census 2022","2022","45 years","Both sexes","Method - M3","Number","77106"
"Population Projections based on Census 2022","2022","46 years","Both sexes","Method - M1","Number","75821"
"Population Projections based on Census 2022","2022","46 years","Both sexes","Method - M2","Number","75821"
"Population Projections based on Census 2022","2022","46 years","Both sexes","Method - M3","Number","75821"
"Population Projections based on Census 2022","2022","47 years","Both sexes","Method - M1","Number","74852"
"Population Projections based on Census 2022","2022","47 years","Both sexes","Method - M2","Number","74852"
"Population Projections based on Census 2022","2022","47 years","Both sexes","Method - M3","Number","74852"
"Population Projections based on Census 2022","2022","48 years","Both sexes","Method - M1","Number","74064"
"Population Projections based on Census 2022","2022","48 years","Both sexes","Method - M2","Number","74064"
"Population Projections based on Census 2022","2022","48 years","Both sexes","Method - M3","Number","74064"
"Population Projections based on Census 2022","2022","49 years","Both sexes","Method - M1","Number","74162"
"Population Projections based on Census 2022","2022","49 years","Both sexes","Method - M2","Number","74162"
"Population Projections based on Census 2022","2022","49 years","Both sexes","Method - M3","Number","74162"
"Population Projections based on Census 2022","2022","50 years","Both sexes","Method - M1","Number","73528"
"Population Projections based on Census 2022","2022","50 years","Both sexes","Method - M2","Number","73528"
"Population Projections based on Census 2022","2022","50 years","Both sexes","Method - M3","Number","73528"
"Population Projections based on Census 2022","2022","51 years","Both sexes","Method - M1","Number","70348"
"Population Projections based on Census 2022","2022","51 years","Both sexes","Method - M2","Number","70348"
"Population Projections based on Census 2022","2022","51 years","Both sexes","Method - M3","Number","70348"
"Population Projections based on Census 2022","2022","52 years","Both sexes","Method - M1","Number","69156"
"Population Projections based on Census 2022","2022","52 years","Both sexes","Method - M2","Number","69156"
"Population Projections based on Census 2022","2022","52 years","Both sexes","Method - M3","Number","69156"
"Population Projections based on Census 2022","2022","53 years","Both sexes","Method - M1","Number","65229"
"Population Projections based on Census 2022","2022","53 years","Both sexes","Method - M2","Number","65229"
"Population Projections based on Census 2022","2022","53 years","Both sexes","Method - M3","Number","65229"
"Population Projections based on Census 2022","2022","54 years","Both sexes","Method - M1","Number","64618"
"Population Projections based on Census 2022","2022","54 years","Both sexes","Method - M2","Number","64618"
"Population Projections based on Census 2022","2022","54 years","Both sexes","Method - M3","Number","64618"
"Population Projections based on Census 2022","2022","55 years","Both sexes","Method - M1","Number","63761"
"Population Projections based on Census 2022","2022","55 years","Both sexes","Method - M2","Number","63761"
"Population Projections based on Census 2022","2022","55 years","Both sexes","Method - M3","Number","63761"
"Population Projections based on Census 2022","2022","56 years","Both sexes","Method - M1","Number","62359"
"Population Projections based on Census 2022","2022","56 years","Both sexes","Method - M2","Number","62359"
"Population Projections based on Census 2022","2022","56 years","Both sexes","Method - M3","Number","62359"
"Population Projections based on Census 2022","2022","57 years","Both sexes","Method - M1","Number","63101"
"Population Projections based on Census 2022","2022","57 years","Both sexes","Method - M2","Number","63101"
"Population Projections based on Census 2022","2022","57 years","Both sexes","Method - M3","Number","63101"
"Population Projections based on Census 2022","2022","58 years","Both sexes","Method - M1","Number","60908"
"Population Projections based on Census 2022","2022","58 years","Both sexes","Method - M2","Number","60908"
"Population Projections based on Census 2022","2022","58 years","Both sexes","Method - M3","Number","60908"
"Population Projections based on Census 2022","2022","59 years","Both sexes","Method - M1","Number","59615"
"Population Projections based on Census 2022","2022","59 years","Both sexes","Method - M2","Number","59615"
"Population Projections based on Census 2022","2022","59 years","Both sexes","Method - M3","Number","59615"
"Population Projections based on Census 2022","2022","60 years","Both sexes","Method - M1","Number","58920"
"Population Projections based on Census 2022","2022","60 years","Both sexes","Method - M2","Number","58920"
"Population Projections based on Census 2022","2022","60 years","Both sexes","Method - M3","Number","58920"
"Population Projections based on Census 2022","2022","61 years","Both sexes","Method - M1","Number","57109"
"Population Projections based on Census 2022","2022","61 years","Both sexes","Method - M2","Number","57109"
"Population Projections based on Census 2022","2022","61 years","Both sexes","Method - M3","Number","57109"
"Population Projections based on Census 2022","2022","62 years","Both sexes","Method - M1","Number","55525"
"Population Projections based on Census 2022","2022","62 years","Both sexes","Method - M2","Number","55525"
"Population Projections based on Census 2022","2022","62 years","Both sexes","Method - M3","Number","55525"
"Population Projections based on Census 2022","2022","63 years","Both sexes","Method - M1","Number","52647"
"Population Projections based on Census 2022","2022","63 years","Both sexes","Method - M2","Number","52647"
"Population Projections based on Census 2022","2022","63 years","Both sexes","Method - M3","Number","52647"
"Population Projections based on Census 2022","2022","64 years","Both sexes","Method - M1","Number","51633"
"Population Projections based on Census 2022","2022","64 years","Both sexes","Method - M2","Number","51633"
"Population Projections based on Census 2022","2022","64 years","Both sexes","Method - M3","Number","51633"
"Population Projections based on Census 2022","2022","65 years","Both sexes","Method - M1","Number","50991"
"Population Projections based on Census 2022","2022","65 years","Both sexes","Method - M2","Number","50991"
"Population Projections based on Census 2022","2022","65 years","Both sexes","Method - M3","Number","50991"
"Population Projections based on Census 2022","2022","66 years","Both sexes","Method - M1","Number","48871"
"Population Projections based on Census 2022","2022","66 years","Both sexes","Method - M2","Number","48871"
"Population Projections based on Census 2022","2022","66 years","Both sexes","Method - M3","Number","48871"
"Population Projections based on Census 2022","2022","67 years","Both sexes","Method - M1","Number","48501"
"Population Projections based on Census 2022","2022","67 years","Both sexes","Method - M2","Number","48501"
"Population Projections based on Census 2022","2022","67 years","Both sexes","Method - M3","Number","48501"
"Population Projections based on Census 2022","2022","68 years","Both sexes","Method - M1","Number","45890"
"Population Projections based on Census 2022","2022","68 years","Both sexes","Method - M2","Number","45890"
"Population Projections based on Census 2022","2022","68 years","Both sexes","Method - M3","Number","45890"
"Population Projections based on Census 2022","2022","69 years","Both sexes","Method - M1","Number","46229"
"Population Projections based on Census 2022","2022","69 years","Both sexes","Method - M2","Number","46229"
"Population Projections based on Census 2022","2022","69 years","Both sexes","Method - M3","Number","46229"
"Population Projections based on Census 2022","2022","70 years","Both sexes","Method - M1","Number","44013"
"Population Projections based on Census 2022","2022","70 years","Both sexes","Method - M2","Number","44013"
"Population Projections based on Census 2022","2022","70 years","Both sexes","Method - M3","Number","44013"
"Population Projections based on Census 2022","2022","71 years","Both sexes","Method - M1","Number","41933"
"Population Projections based on Census 2022","2022","71 years","Both sexes","Method - M2","Number","41933"
"Population Projections based on Census 2022","2022","71 years","Both sexes","Method - M3","Number","41933"
"Population Projections based on Census 2022","2022","72 years","Both sexes","Method - M1","Number","41412"
"Population Projections based on Census 2022","2022","72 years","Both sexes","Method - M2","Number","41412"
"Population Projections based on Census 2022","2022","72 years","Both sexes","Method - M3","Number","41412"
"Population Projections based on Census 2022","2022","73 years","Both sexes","Method - M1","Number","39497"
"Population Projections based on Census 2022","2022","73 years","Both sexes","Method - M2","Number","39497"
"Population Projections based on Census 2022","2022","73 years","Both sexes","Method - M3","Number","39497"
"Population Projections based on Census 2022","2022","74 years","Both sexes","Method - M1","Number","37829"
"Population Projections based on Census 2022","2022","74 years","Both sexes","Method - M2","Number","37829"
"Population Projections based on Census 2022","2022","74 years","Both sexes","Method - M3","Number","37829"
"Population Projections based on Census 2022","2022","75 years","Both sexes","Method - M1","Number","36087"
"Population Projections based on Census 2022","2022","75 years","Both sexes","Method - M2","Number","36087"
"Population Projections based on Census 2022","2022","75 years","Both sexes","Method - M3","Number","36087"
"Population Projections based on Census 2022","2022","76 years","Both sexes","Method - M1","Number","33937"
"Population Projections based on Census 2022","2022","76 years","Both sexes","Method - M2","Number","33937"
"Population Projections based on Census 2022","2022","76 years","Both sexes","Method - M3","Number","33937"
"Population Projections based on Census 2022","2022","77 years","Both sexes","Method - M1","Number","30686"
"Population Projections based on Census 2022","2022","77 years","Both sexes","Method - M2","Number","30686"
"Population Projections based on Census 2022","2022","77 years","Both sexes","Method - M3","Number","30686"
"Population Projections based on Census 2022","2022","78 years","Both sexes","Method - M1","Number","28119"
"Population Projections based on Census 2022","2022","78 years","Both sexes","Method - M2","Number","28119"
"Population Projections based on Census 2022","2022","78 years","Both sexes","Method - M3","Number","28119"
"Population Projections based on Census 2022","2022","79 years","Both sexes","Method - M1","Number","26188"
"Population Projections based on Census 2022","2022","79 years","Both sexes","Method - M2","Number","26188"
"Population Projections based on Census 2022","2022","79 years","Both sexes","Method - M3","Number","26188"
"Population Projections based on Census 2022","2022","80 years","Both sexes","Method - M1","Number","23000"
"Population Projections based on Census 2022","2022","80 years","Both sexes","Method - M2","Number","23000"
"Population Projections based on Census 2022","2022","80 years","Both sexes","Method - M3","Number","23000"
"Population Projections based on Census 2022","2022","81 years","Both sexes","Method - M1","Number","20672"
"Population Projections based on Census 2022","2022","81 years","Both sexes","Method - M2","Number","20672"
"Population Projections based on Census 2022","2022","81 years","Both sexes","Method - M3","Number","20672"
"Population Projections based on Census 2022","2022","82 years","Both sexes","Method - M1","Number","19555"
"Population Projections based on Census 2022","2022","82 years","Both sexes","Method - M2","Number","19555"
"Population Projections based on Census 2022","2022","82 years","Both sexes","Method - M3","Number","19555"
"Population Projections based on Census 2022","2022","83 years","Both sexes","Method - M1","Number","17890"
"Population Projections based on Census 2022","2022","83 years","Both sexes","Method - M2","Number","17890"
"Population Projections based on Census 2022","2022","83 years","Both sexes","Method - M3","Number","17890"
"Population Projections based on Census 2022","2022","84 years","Both sexes","Method - M1","Number","15641"
"Population Projections based on Census 2022","2022","84 years","Both sexes","Method - M2","Number","15641"
"Population Projections based on Census 2022","2022","84 years","Both sexes","Method - M3","Number","15641"
"Population Projections based on Census 2022","2022","85 years","Both sexes","Method - M1","Number","14486"
"Population Projections based on Census 2022","2022","85 years","Both sexes","Method - M2","Number","14486"
"Population Projections based on Census 2022","2022","85 years","Both sexes","Method - M3","Number","14486"
"Population Projections based on Census 2022","2022","86 years","Both sexes","Method - M1","Number","12856"
"Population Projections based on Census 2022","2022","86 years","Both sexes","Method - M2","Number","12856"
"Population Projections based on Census 2022","2022","86 years","Both sexes","Method - M3","Number","12856"
"Population Projections based on Census 2022","2022","87 years","Both sexes","Method - M1","Number","11255"
"Population Projections based on Census 2022","2022","87 years","Both sexes","Method - M2","Number","11255"
"Population Projections based on Census 2022","2022","87 years","Both sexes","Method - M3","Number","11255"
"Population Projections based on Census 2022","2022","88 years","Both sexes","Method - M1","Number","9696"
"Population Projections based on Census 2022","2022","88 years","Both sexes","Method - M2","Number","9696"
"Population Projections based on Census 2022","2022","88 years","Both sexes","Method - M3","Number","9696"
"Population Projections based on Census 2022","2022","89 years","Both sexes","Method - M1","Number","7965"
"Population Projections based on Census 2022","2022","89 years","Both sexes","Method - M2","Number","7965"
"Population Projections based on Census 2022","2022","89 years","Both sexes","Method - M3","Number","7965"
"Population Projections based on Census 2022","2022","90 years","Both sexes","Method - M1","Number","6724"
"Population Projections based on Census 2022","2022","90 years","Both sexes","Method - M2","Number","6724"
"Population Projections based on Census 2022","2022","90 years","Both sexes","Method - M3","Number","6724"
"Population Projections based on Census 2022","2022","91 years","Both sexes","Method - M1","Number","5720"
"Population Projections based on Census 2022","2022","91 years","Both sexes","Method - M2","Number","5720"
"Population Projections based on Census 2022","2022","91 years","Both sexes","Method - M3","Number","5720"
"Population Projections based on Census 2022","2022","92 years","Both sexes","Method - M1","Number","4094"
"Population Projections based on Census 2022","2022","92 years","Both sexes","Method - M2","Number","4094"
"Population Projections based on Census 2022","2022","92 years","Both sexes","Method - M3","Number","4094"
"Population Projections based on Census 2022","2022","93 years","Both sexes","Method - M1","Number","3251"
"Population Projections based on Census 2022","2022","93 years","Both sexes","Method - M2","Number","3251"
"Population Projections based on Census 2022","2022","93 years","Both sexes","Method - M3","Number","3251"
"Population Projections based on Census 2022","2022","94 years","Both sexes","Method - M1","Number","2453"
"Population Projections based on Census 2022","2022","94 years","Both sexes","Method - M2","Number","2453"
"Population Projections based on Census 2022","2022","94 years","Both sexes","Method - M3","Number","2453"
"Population Projections based on Census 2022","2022","95 years","Both sexes","Method - M1","Number","1821"
"Population Projections based on Census 2022","2022","95 years","Both sexes","Method - M2","Number","1821"
"Population Projections based on Census 2022","2022","95 years","Both sexes","Method - M3","Number","1821"
"Population Projections based on Census 2022","2022","96 years","Both sexes","Method - M1","Number","1282"
"Population Projections based on Census 2022","2022","96 years","Both sexes","Method - M2","Number","1282"
"Population Projections based on Census 2022","2022","96 years","Both sexes","Method - M3","Number","1282"
"Population Projections based on Census 2022","2022","97 years","Both sexes","Method - M1","Number","949"
"Population Projections based on Census 2022","2022","97 years","Both sexes","Method - M2","Number","949"
"Population Projections based on Census 2022","2022","97 years","Both sexes","Method - M3","Number","949"
"Population Projections based on Census 2022","2022","98 years","Both sexes","Method - M1","Number","621"
"Population Projections based on Census 2022","2022","98 years","Both sexes","Method - M2","Number","621"
"Population Projections based on Census 2022","2022","98 years","Both sexes","Method - M3","Number","621"
"Population Projections based on Census 2022","2022","99 years and over","Both sexes","Method - M1","Number","1185"
"Population Projections based on Census 2022","2022","99 years and over","Both sexes","Method - M2","Number","1185"
"Population Projections based on Census 2022","2022","99 years and over","Both sexes","Method - M3","Number","1185"
"Population Projections based on Census 2022","2022","All ages","Both sexes","Method - M1","Number","5183966"
"Population Projections based on Census 2022","2022","All ages","Both sexes","Method - M2","Number","5183966"
"Population Projections based on Census 2022","2022","All ages","Both sexes","Method - M3","Number","5183966"
"Population Projections based on Census 2022","2023","Under 1 year","Both sexes","Method - M1","Number","58064"
"Population Projections based on Census 2022","2023","Under 1 year","Both sexes","Method - M2","Number","58064"
"Population Projections based on Census 2022","2023","Under 1 year","Both sexes","Method - M3","Number","58064"
"Population Projections based on Census 2022","2023","1 year","Both sexes","Method - M1","Number","58408"
"Population Projections based on Census 2022","2023","1 year","Both sexes","Method - M2","Number","58408"
"Population Projections based on Census 2022","2023","1 year","Both sexes","Method - M3","Number","58408"
"Population Projections based on Census 2022","2023","2 years","Both sexes","Method - M1","Number","57368"
"Population Projections based on Census 2022","2023","2 years","Both sexes","Method - M2","Number","57368"
"Population Projections based on Census 2022","2023","2 years","Both sexes","Method - M3","Number","57368"
"Population Projections based on Census 2022","2023","3 years","Both sexes","Method - M1","Number","59916"
"Population Projections based on Census 2022","2023","3 years","Both sexes","Method - M2","Number","59916"
"Population Projections based on Census 2022","2023","3 years","Both sexes","Method - M3","Number","59916"
"Population Projections based on Census 2022","2023","4 years","Both sexes","Method - M1","Number","61282"
"Population Projections based on Census 2022","2023","4 years","Both sexes","Method - M2","Number","61282"
"Population Projections based on Census 2022","2023","4 years","Both sexes","Method - M3","Number","61282"
"Population Projections based on Census 2022","2023","5 years","Both sexes","Method - M1","Number","62367"
"Population Projections based on Census 2022","2023","5 years","Both sexes","Method - M2","Number","62367"
"Population Projections based on Census 2022","2023","5 years","Both sexes","Method - M3","Number","62367"
"Population Projections based on Census 2022","2023","6 years","Both sexes","Method - M1","Number","64926"
"Population Projections based on Census 2022","2023","6 years","Both sexes","Method - M2","Number","64926"
"Population Projections based on Census 2022","2023","6 years","Both sexes","Method - M3","Number","64926"
"Population Projections based on Census 2022","2023","7 years","Both sexes","Method - M1","Number","67580"
"Population Projections based on Census 2022","2023","7 years","Both sexes","Method - M2","Number","67580"
"Population Projections based on Census 2022","2023","7 years","Both sexes","Method - M3","Number","67580"
"Population Projections based on Census 2022","2023","8 years","Both sexes","Method - M1","Number","69841"
"Population Projections based on Census 2022","2023","8 years","Both sexes","Method - M2","Number","69841"
"Population Projections based on Census 2022","2023","8 years","Both sexes","Method - M3","Number","69841"
"Population Projections based on Census 2022","2023","9 years","Both sexes","Method - M1","Number","71570"
"Population Projections based on Census 2022","2023","9 years","Both sexes","Method - M2","Number","71570"
"Population Projections based on Census 2022","2023","9 years","Both sexes","Method - M3","Number","71570"
"Population Projections based on Census 2022","2023","10 years","Both sexes","Method - M1","Number","73022"
"Population Projections based on Census 2022","2023","10 years","Both sexes","Method - M2","Number","73022"
"Population Projections based on Census 2022","2023","10 years","Both sexes","Method - M3","Number","73022"
"Population Projections based on Census 2022","2023","11 years","Both sexes","Method - M1","Number","75036"
"Population Projections based on Census 2022","2023","11 years","Both sexes","Method - M2","Number","75036"
"Population Projections based on Census 2022","2023","11 years","Both sexes","Method - M3","Number","75036"
"Population Projections based on Census 2022","2023","12 years","Both sexes","Method - M1","Number","75990"
"Population Projections based on Census 2022","2023","12 years","Both sexes","Method - M2","Number","75990"
"Population Projections based on Census 2022","2023","12 years","Both sexes","Method - M3","Number","75990"
"Population Projections based on Census 2022","2023","13 years","Both sexes","Method - M1","Number","77091"
"Population Projections based on Census 2022","2023","13 years","Both sexes","Method - M2","Number","77091"
"Population Projections based on Census 2022","2023","13 years","Both sexes","Method - M3","Number","77091"
"Population Projections based on Census 2022","2023","14 years","Both sexes","Method - M1","Number","75836"
"Population Projections based on Census 2022","2023","14 years","Both sexes","Method - M2","Number","75836"
